GRID_ID,2020,2025,2030,2035,2040,2045,2050
1117,1.849,2.009,2.239,2.426,2.557,2.708,3.024
1118,0,0,0,0,0,0,0
1119,0.862,0.928,1.025,0.742,0.77,0.802,0.88
1120,0.925,0.996,1.101,1.175,1.219,1.269,1.394
1121,0,0,0,0,0,0,0
1122,0.85,0.85,0.85,0.85,0.85,0.85,0.85
1123,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1124,0,0,0,0,0,0,0
1125,0,0,0,0,0,0,0
1126,0,0,0,0,0,0,0
1127,0,0,0,0,0,0,0
1128,0,0,0,0,0,0,0
1129,0,0,0,0,0,0,0
1130,0,0,0,0,0,0,0
1131,0,0,0,0,0,0,0
1132,0.53,0.53,0.53,0.53,0.53,0.53,0.53
1133,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1134,0.811,0.826,0.86,1.772,1.89,1.986,2.181
1135,0,0,0,0,0,0,0
1136,0,0,0,0,0,0,0
1137,0,0,0,0,0,0,0
1138,0,0,0,0,0,0,0
1139,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1140,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1141,0,0,0,0,0,0,0
1142,0.53,0.53,1.364,1.42,1.454,1.262,1.356
1143,0,0,0,0,0,0,0
1144,0,0,0,0,0,0,0
1145,0,0,0,0,0,0,0
1146,0,0,0,0,0,0,0
1147,0,0,0,0,0,0,0
1148,0,0,0,0,0,0,0
1149,0,0,0,0,0,0,0
1150,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1151,0,0,0,0,0,0,0
1152,0,0,0,0,0,0,0
1153,0,0,0,0,0,0,0
1154,0,0,0,0,0,0,0
1155,0.712,0.767,0.848,0.905,0.939,0.978,1.073
1156,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1157,0.98,0.98,0.98,0.98,0.98,0.98,0.98
1158,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1159,0.46,0.46,0.46,0.46,0.23,0.23,0.23
1160,0,0,0,0,0,0,0
1161,0,0,0,0,0,0,0
1162,0,0,0,0,0,0,0
1163,0,0,0,0,0,0,0
1164,0,0,0,0,0,0,0
1165,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1166,0,0,0,0,0,0,0
1167,0.7,0.7,0.7,0.7,0.7,0.7,0.7
1168,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1169,1.473,1.563,1.696,1.787,1.823,1.859,1.982
1170,0,0,0,0,0,0,0
1171,0,0,0,0,0,0,0
1172,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1173,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1174,0,0,0,0,0,0,0
1175,0.35,0.35,0.725,0.773,0.802,0.835,0.917
1176,0,0,0,0,0,0,0
1177,0,0,0,0,0,0,0
1178,0,0,0,0,0,0,0
1179,0,0,0,0,0,0,0
1180,0,0,0,0,0,0,0
1181,0,0,0,0,0,0,0.788
1182,0,0,0,0,0,0,0
1183,0,0,0,0,0,0,0
1184,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1185,0,0,1.301,1.366,1.386,1.408,1.507
1186,0,0,0,0,0,0,0
1187,0,0,0,0,0,0,0
1188,0,0,0,0,0,0,0
1189,0,0,0,0,0,0,0
1190,0.2,0.2,0,0,0,0,0
1191,0,0,0,0,0,0,0
1192,0,0,0,0,0,0,0
1193,0,0,0,0,0,0,0
1194,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1195,0.93,0.93,0.93,0.93,0.93,0.93,0.93
1196,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1197,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0
1199,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0
1201,0,0,0,0,0,0,0
1202,0,0,0,0,0,0,0
1203,0,0,0,0,0,0,0
1204,0.912,0.963,1.041,1.074,1.077,1.075,2.278
1205,0,0,0,0,0,0,0
1206,0,0,0,0,0,0,0
1207,0,0,0,0,0,0,0
1208,0,0,0,0,0,0,0
1209,0,0,0,0,0,0,0
1210,0,0,0,0,0,0,0
1211,1.728,1.838,2,2.114,2.182,2.26,2.452
1212,1.6,1.6,1.6,1.6,1.6,1.6,1.6
1213,1.38,1.38,1.38,1.38,1.15,1.15,1.15
1214,1.68,1.68,1.68,1.68,1.68,1.45,1.45
1215,0.85,0.85,0.85,0.85,0.85,0.85,0.85
1216,0,0,0,0,0,0,0
1217,0,0,0,0,0,0,0
1218,0,0,0,0,0,0,0
1219,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0
1221,0,0,0,0,0,0,0
1222,0,0,0,0,0,0,0
1223,0,0,0,0,0,0,0
1224,0,0,0,0,0,0,0
1225,0,0,0,0,0,0,0
1226,0,0,0,0,0,0,0
1227,0,0,0,0,0,0,0
1228,0,0,0,0,0,0,0
1229,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1230,0,0,0,0,0,0,0
1231,0,0,0,0,0,0,0
1232,0,0,0,0,0,0,0
1233,1.661,1.753,1.273,1.577,1.399,1.456,1.599
1234,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1235,0.91,0.91,0.91,0.91,0.91,0.68,0.68
1236,0.98,0.98,0.98,0.98,0.98,0.98,0.98
1237,1.487,1.572,1.697,1.785,1.839,1.898,2.047
1238,0,0,0,0,0,0,0
1239,0.23,0.23,2.018,2.147,2.229,2.094,2.3
1240,0,0,0,0,0,0,0
1241,0,0,0,0,0,0,0
1242,0,0,0,0,0,0,0
1243,0,0,0,0,0,0,0
1244,0,0,0,0,0,0,0
1245,0,0,0,0,0,0,0
1246,0,0,0,0,0,0,0
1247,0,0,0,0,0,0,0
1248,0,0,0,0,0,0,0
1249,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0
1251,0,0,0,0,0,0,0
1252,0,0,0,0,0,0,0
1253,1.238,1.333,1.474,1.572,1.632,1.699,1.865
1254,0,0,0,0,0,0,0
1255,2.007,2.126,2.303,2.426,2.502,2.586,2.795
1256,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1257,0,0,0,0,0,0,0
1258,3.087,3.261,3.516,3.696,3.805,3.927,4.23
1259,0.53,0.53,0.53,0.53,0.53,0.53,0.53
1260,0.76,0.819,0.905,0.965,1.002,1.043,1.146
1261,0,0,0,0,0,0,0
1262,0,0,0,0,0,0,0
1263,0,0,0,0,0,0,0
1264,0,0,0,0,0,0,0
1265,0,0,0,0,0,0,0
1266,0,0,0,0,0,0,0
1267,0,0,0,0,0,0,0
1268,0,0,0,0,0,0,0
1269,1.478,1.592,1.759,1.876,1.97,2.095,2.349
1270,0,0,0,0,0,0,0
1271,0,0,0,0,0,0,0
1272,0,0,0,0,0,0,0
1273,0,0,0,0,0,0,0
1274,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1275,0.88,0.88,0.68,0.68,0.68,0.68,0.68
1276,0,0,0,0,0,0,0
1277,0,0,0,0,0,0,0
1278,0,0,0,0,0,0,0
1279,0,0,0,0,0,0,0
1280,0,0,0,0,0,0,0
1281,0,0,0,0,0,0,0
1282,0,0,0,0,0,0,0
1283,0,0,0,0,0,0,0
1284,0,0,0,0,0,0,0
1285,0,0,0,0,0,0,0
1286,0,0,0,0,0,0,0
1287,0,0,0,0,0,0,0
1288,0,0,0,0,0,0,0
1289,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0
1291,0,0,0,0,0,0,0
1292,0,0,0,0,0,0,0
1293,0,0,0,0,0,0,0
1294,1.679,1.809,1.999,2.139,2.253,2.386,2.664
1295,0,0,0,0,0,0,0
1296,0,0,0,0,0,0,0
1297,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1298,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1299,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0
1301,0,0,0,0,0,0,0
1302,0,0,0,0,0,0,0
1303,0,0,0,0,0,0,0
1304,0,0,0,0,0,0,0
1305,0,0,0,0,0,0,0
1306,0,0,0,0,0,0,0
1307,0,0,0,0,0,0,0
1308,0,0,0,0,0,0,0
1309,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0
1311,0,0,0,0,0,0,0
1312,0,0,0,0,0,0,0
1313,0,0,0,0,0,0,0
1314,0,0,0,0,0,0,0
1315,0,0,0,0,0,0,0
1316,0,0,0,0,0,0,0
1317,0,0,0,1.247,1.258,1.27,1.35
1318,0,0,0,0,0,0,0
1319,0,0,0,0,0,0,0
1320,0,0,0,0,0,0,0
1321,0,0,0,0,0,0,0
1322,0,0,0,0,0,0,0
1323,0,0,0,0,0,0,0
1324,0,0,0,0,0,0,0
1325,0,0,0,0,0,0,0
1326,0,0,0,0,0,0,0
1327,0.82,0.746,0.77,0.822,0.853,0.888,0.975
1328,0.35,0.35,0.35,0.711,0.738,0.768,0.844
1329,1.009,1.086,1.2,1.281,1.329,1.384,1.52
1330,0,0,0,0,0,0,0
1331,1.409,1.517,1.677,1.789,1.857,1.933,2.123
1332,0,0,0,0,0,0,0
1333,0,0,0,0,0,0,0
1334,0,0,0,0,0,0,0
1335,0,0,0,0,0,0,0
1336,0,0,0,0,0,0,0
1337,0,0,0,0,0,0,0
1338,0.94,0.98,1.048,1.07,1.062,1.055,1.102
1339,1.784,1.931,2.145,2.317,2.434,2.577,2.876
1340,0,0,0,0,0,0,0
1341,0,0,0,0,0,0,0
1342,0,0,0,0,0,0,0
1343,0,0,0,0,0,0,0
1344,0,0,0,0,0,0,0
1345,0,0,0,0,0,0,0
1346,0,0,0,0,0,0,0
1347,0,0,0,0,0,0,0
1348,0,0,0,0,0,0,0
1349,0,0,0,0,0,0,0
1350,1.488,1.603,1.771,1.89,1.962,2.042,2.242
1351,0,0,1.62,1.729,1.794,1.868,2.051
1352,1.502,1.617,1.787,1.906,1.984,2.113,2.372
1353,0,0,0,0,0,0,0
1354,0,0,0,0,0,0,0
1355,1.741,1.875,2.072,2.21,2.294,2.398,2.678
1356,0,0,0,0,0,0,0
1357,0,0,0,0,0,0,0
1358,0.783,0.844,0.932,0.995,1.032,1.075,1.18
1359,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0
1361,0,0,0,0,0,0,0
1362,0,0,0,0,0,0,0
1363,0,0,0,0,0,0,0
1364,0,0,0,0,0,0,0
1365,0,0,0,0,0,0,0
1366,0,0,0,0,0,0,0
1367,0,0,0,0,0,0,0
1368,0.35,0.35,0.35,0.35,0.716,0.746,0.819
1369,0,0,0,0,0,0,0
1370,1.045,1.125,1.227,1.257,1.252,1.236,1.284
1371,0.822,0.885,0.978,1.043,1.083,1.127,1.238
1372,0,0,0,0,0,0,0
1373,0,0,0,0,0,0,0
1374,0,0,0,0,0,0,0
1375,0,0,0,0,0,0,0
1376,0,0,0,0,0,0,0
1377,1.173,1.272,1.416,1.532,1.59,1.655,1.818
1378,0.704,0.763,0.848,0.917,0.952,0.991,1.089
1379,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,0
1381,0,0,0,0,0,0,0
1382,0,0,0,0,0,0,0
1383,0,0,0,0,0,0,0
1384,0,0,0,0,0,0,0
1385,0,0,0,0,0,0,0
1386,0,0,0,0,0,0,0
1387,0,0,0,0,0,0,0
1388,1.094,1.178,1.286,1.327,1.332,1.334,1.408
1389,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0
1391,0,0,0,0,0,0,0
1392,0,0,0,0,0,0,0
1393,0,0,1.612,1.689,1.72,1.752,1.88
1394,0,0,0,0,0,0,0
1395,0,0,0,0,0,0,0
1396,0,0,0,0,0,0,0
1397,0,0,0,0,0,0,0
1398,0,0,0,0,0,0,0
1399,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0
1401,0,0,0,0,0,0,0
1402,0,0,0,0,0,0,0
1403,0,0,0,0,0,0,0
1404,0,0,0,0,0,0,0
1405,0,0,0,0,0,0,0
1406,0,0,0,0,0,0,0
1407,0,0,0,0,0,0,0
1408,0,0,0,0,0,0,0
1409,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0
1411,1.063,1.089,1.143,1.151,1.123,1.094,1.118
1412,0.85,0.873,0.918,0.927,0.909,0.889,0.913
1413,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1414,0,0,0,0,0,0,0
1415,0,0,0,0,0,0,0
1416,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1417,0,0,0,0,0,0,0
1418,0,0,0,0,0,0,0
1419,0,0,0,0,0,0,0
1420,0,0,0,0,1.963,2.044,2.245
1421,0.818,0.88,0.973,1.038,1.078,1.122,1.232
1422,0.3,1.298,1.403,1.477,1.521,1.571,1.696
1423,1.003,1.08,1.194,1.274,1.322,1.298,1.32
1424,0,0,0,0,0,0,0
1425,0,0,0,0,0,0,0
1426,0,0,0,0,0,0,0
1427,0,0,0,0,0,0,0
1428,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1429,0,0,0,0,0,0,0
1430,1.938,2.095,2.325,2.511,2.624,2.732,3
1431,0,0,0,0,0,0,0
1432,0,0,0,0,0,0,0
1433,0,0,0,0,0,0,0
1434,0,0,0,0,0,0,0
1435,0,0,0,0,0,0,0
1436,0,0,0,0,0,0,0
1437,0,0,0,0,0,0,0
1438,0,0,0,0,0,0,0
1439,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0
1441,0,0,0,0,0,0,0
1442,0,0,0,0,0,0,0
1443,0,0,0,0,0,0,0
1444,0.832,0.896,0.99,1.056,1.096,1.141,1.253
1445,0,0,0,0,0,0,0
1446,0,0,0,0,0,0,0
1447,0,0,0,0,0,0,0
1448,0,0,1.481,1.504,1.483,1.454,1.498
1449,0,0,0,0,0,0,0
1450,0,0,0,1.134,1.177,1.167,1.166
1451,0,0,0,0,0,0,0
1452,0,0,0,1.572,1.602,1.637,1.764
1453,1.496,1.629,1.819,1.979,2.094,2.206,2.422
1454,1.709,1.855,2.066,2.246,2.375,2.526,2.78
1455,0.704,0.75,0.819,0.841,0.84,0.828,0.859
1456,0,0,0,0,0,0,0
1457,0,0,0,0,0,0,0
1458,0,0,0,0,0,0,0
1459,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0
1461,0,0,0,0,0,0,0
1462,0,0,0,0,0,0,0
1463,0,0,0,0,0,0,0
1464,0,0,0,0,0,0,0
1465,0,0,0,0,0,0,0
1466,0,0,0,0,0,0,0
1467,0,0,0,0,0,0,0
1468,0,0,0,0,0,0,0
1469,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0
1471,0.35,0.35,0.35,0.734,0.762,0.793,0.871
1472,0.68,0.68,0.68,0.68,0.68,0.68,0.68
1473,0,0,0,0,0,0,0
1474,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0
1476,0,0,0,0,0,0,0
1477,0,0,0,1.235,1.224,1.2,1.238
1478,0,0,0,0,0,0,0
1479,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0
1481,0,0,0,0,0,0,0
1482,0,0,0,0,0,0,0
1483,0,0,0,0,0,0,0
1484,0,0,0,0,0,0,0
1485,0,0,0,0,0,0,0
1486,0,0,0,0,0,0,0
1487,0,0,0,0,0,0,0
1488,0,0,0,0,0,0,0
1489,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0
1491,0,0,0,0,0,0,0
1492,0,0,0,0,0,0,0
1493,0,0,0,0,0,0,0
1494,0,0,0,0,0,0,0
1495,0,0,0,0,0,0,0
1496,0,0,0,0,0,0,0
1497,0,0,0,0,0,0,0
1498,0,0,0,0,0,0,0
1499,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0
1501,2.081,2.195,2.363,2.481,2.553,2.633,2.832
1502,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1503,0,0,0,0,1.551,0,1.823
1504,0,0,0,0,0,0,0
