GRID_ID,2020,2025,2030,2035,2040,2045,2050
1274,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1275,0.88,0.88,0.68,0.68,0.68,0.68,0.68
1294,0.35,0.35,0.35,0.35,0.35,0.771,0.818
1297,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1298,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1327,0.35,0.752,0.817,0.934,1.025,1.213,0.749
1328,0.35,0.35,0.35,0.35,0.35,0.35,0.715
1329,1.009,0.713,0.35,0.35,0.35,0.737,0.855
1331,0.35,0.35,o,o,o,o,o
1338,0.94,0.989,1.039,1.138,1.193,1.347,1.487
1339,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1350,0.707,0.768,0.834,0.954,1.047,1.238,1.436
1352,0.35,0.35,o,o,o,o,o
1355,0.35,0.35,0.35,0.35,0.35,0.763,0.808
1358,0.783,0.851,0.924,1.056,1.159,1.371,1.59
1368,0.35,0.35,0.35,0.733,0.805,0.952,1.104
1370,1.045,1.135,1.233,1.38,1.455,1.635,1.797
1371,0.822,0.826,0.898,1.026,1.126,0.817,0.948
1377,0.225,0.225,0.225,o,o,o,o
1378,0.35,0.35,0.35,o,o,o,o
1388,1.094,1.188,1.275,1.41,1.496,1.703,1.899
1393,0,0,0,1.794,1.933,2.235,2.535
1411,1.063,1.099,1.133,1.223,1.262,1.396,1.507
1412,0.85,0.88,0.91,0.985,1.021,1.134,1.231
1413,0.35,0.35,0.35,0.35,0.35,0.733,0.805
1416,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1420,0,0,0,0,1.601,1.893,2.196
1421,0.818,0.748,1.311,0.756,0.829,0.981,1.138
1422,0.3,1.176,1.251,1.387,1.493,1.711,1.937
1423,1.003,1.089,1.183,1.353,1.485,1.656,1.78
1428,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1430,0.225,0.225,0.225,0.225,o,o,o
1444,0.832,0.903,0.981,1.122,1.231,1.456,1.689
1453,0.35,0.35,0.727,0.779,0.798,o,o
1454,0.35,0.35,0.35,0.35,0.35,0.35,o
1455,0,0,0,0.894,0,0,0
1471,0.35,0.35,0.35,0.78,0.855,1.012,1.174
1472,0.68,0.68,0.68,0.68,0.68,0.68,0.68
1501,2.081,2.209,2.348,2.598,2.793,3.193,3.608
1502,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1508,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1512,0.35,0.35,0.35,0.757,0.804,0.89,0.961
1513,0.46,0.46,0.46,0.46,0.46,0.46,0.46
1533,0.35,0.35,0.753,0.86,0.944,1.117,1.295
1534,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1538,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1544,0.911,0.985,1.065,1.2,1.298,1.492,1.681
1546,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1566,1.151,1.224,1.304,1.448,1.56,1.79,2.028
1567,1.22,1.3,1.383,1.527,0.992,1.12,1.253
1568,0.2,0.2,o,o,o,o,o
1569,0.83,0.83,0.83,0.83,0.83,0.83,0.83
1570,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1571,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1572,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1573,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1576,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1578,0.82,0.891,0.968,1.075,1.095,1.173,1.219
1580,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1581,0.35,0.35,0.35,0.35,o,o,o
1596,0.35,0.732,0.796,0.91,0.996,1.169,1.345
1597,0.35,0.35,0.35,0.35,0.35,0.712,0.771
1600,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1601,0.35,0.35,0.35,0.35,0.765,0.905,1.039
1602,0.722,0.784,0.852,0.974,1.069,0.778,0.903
1604,1.203,1.267,1.337,1.463,1.56,1.761,1.969
1605,0.819,0.889,0.953,1.062,1.136,0.742,0.861
1606,1.687,1.806,1.936,2.17,2.352,2.727,3.115
1607,1.36,1.36,1.36,1.36,1.36,1.36,1.36
1609,0.225,0.225,0.225,0.225,0.225,0.225,0.225
1610,0.53,0.53,0.53,0.53,0.53,0.53,0.53
1612,0,0,0,1.139,0,0,1.456
1614,0.7,0.7,0.7,0.7,0.7,0.7,0.7
1615,0.35,0.35,0.705,0.778,o,o,o
1616,0.225,0.225,0.225,0.225,0.225,0.225,0.225
1632,0.88,0.88,0.88,0.88,0.88,0.88,0.88
1634,1.299,1.365,1.437,1.567,1.668,1.876,2.092
1635,1.179,1.243,1.305,1.426,1.507,1.693,1.873
1644,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1645,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1646,0.3,0.3,0.65,0.65,0.65,0.65,0.65
1654,0.35,0.35,0.35,0.35,0.35,o,o
1655,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1656,0.35,0.35,0.35,0.733,0.799,o,o
1662,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1663,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1664,0.75,0.75,0.75,0.75,0.75,0.75,0.75
1665,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1666,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1667,0.85,0.85,0.85,0.85,0.85,0.85,0.85
1668,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1669,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1679,0.704,0.764,0.83,0.949,1.042,1.232,1.429
1681,0.995,1.035,1.074,1.157,1.192,1.294,1.368
1683,1.045,1.101,1.161,1.276,1.344,1.506,1.649
1686,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1691,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1692,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1695,0.6,0.6,0.6,1.845,1.94,1.414,1.544
1700,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1702,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1703,0.764,0.829,0.901,1.03,1.13,1.337,1.551
1704,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1706,0.992,1.06,1.133,1.274,1.375,1.594,1.812
1707,0.77,0.796,0.82,0.876,0.894,0.958,0.997
1709,0.959,1.009,1.051,1.133,1.181,0.931,1.044
1710,1.389,1.459,1.533,1.671,1.762,1.963,2.153
1713,1.185,1.276,1.374,1.551,1.681,1.961,2.244
1717,0.46,0.46,0.46,0.46,0.46,0.46,0.46
1722,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1725,0,0,1.34,1.487,1.582,1.805,2.018
1726,0.924,1.004,1.09,1.247,1.365,1.566,1.76
1729,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1730,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1732,0.35,0.35,0.35,0.35,0.35,o,o
1733,0.71,0.743,0.777,0.836,0.86,0.947,1.017
1734,0.46,0.46,0.46,0.46,0.46,0.46,1.625
1739,1.158,1.245,1.339,1.502,1.617,1.865,2.11
1740,0.35,0.35,0.35,0.7,0.769,0.909,1.054
1743,1.784,1.844,1.887,1.977,2.035,2.175,2.309
1744,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1745,1.211,1.296,1.388,1.554,1.683,1.948,2.223
1752,1.176,1.247,1.324,1.461,1.562,1.774,1.989
1753,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1755,0.65,0.65,0.65,1.029,1.1,1.246,1.397
1756,0.58,0.58,0.58,0.58,0.58,0.58,0.58
1757,0.934,1.014,1.101,1.258,1.361,1.575,1.786
1758,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1759,0.996,1.081,1.175,1.343,1.474,1.743,2.022
1760,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1761,0.1,0.1,0.1,0.1,o,o,o
1764,0.35,0.35,0.35,0.35,0.35,0.35,0.35
