GRID_ID,2020,2025,2030,2035,2040,2045,2050
1229,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1233,1.661,1.753,1.273,1.347,1.399,1.456,1.599
1234,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1235,0.91,0.91,0.91,0.91,0.91,0.68,0.68
1236,0.98,0.98,0.98,0.98,0.98,0.98,0.98
1237,1.487,1.572,1.697,1.785,1.839,1.898,2.047
1238,0,0,0,0,0,1.253,1.376
1239,0.23,0.23,0.23,0.23,0.23,0,0
1253,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1255,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1256,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1258,3.087,3.261,3.516,3.696,3.805,3.927,4.23
1259,0.53,0.53,0.53,0.53,0.53,0.53,0.53
1260,0.76,0.819,0.905,0.965,1.002,1.043,0
1269,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1274,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1275,0.88,0.88,0.68,0.68,0.68,0.68,0.68
1294,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1297,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1298,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1327,0.35,0.746,0.77,0.822,0.853,0.888,0.975
1328,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1329,1.009,1.086,1.2,1.281,1.329,1.384,1.52
1331,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1338,0.94,0.98,1.048,1.07,1.062,1.055,1.102
1339,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1350,0.707,0.761,0.842,0.898,0.932,0.97,1.065
1352,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1355,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1358,0.783,0.844,0.932,0.995,1.032,1.075,1.18
1368,0.35,0.35,0.35,0.35,0.716,0.746,0.819
1370,1.045,1.125,1.227,1.257,1.252,1.236,1.284
1371,0.822,0.885,0.978,1.043,1.083,1.127,1.238
1377,0.225,0.225,0.225,0,0,0,0
1378,0.35,0.35,0.35,0,0,0,0
1388,1.094,1.178,1.286,1.327,1.332,1.334,1.408
1393,0,0,0,1.689,1.72,1.752,1.88
1411,1.063,1.089,1.143,1.151,1.123,1.094,1.118
1412,0.85,0.873,0.918,0.927,0.909,0.889,0.913
1413,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1416,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1420,0,0,0,0,0,0,2.245
1421,0.818,0.88,0.973,1.038,1.078,1.122,1.232
